Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,289,,,1
0,3,Undirected,290,,,1
0,4,Undirected,291,,,1
2,39,Undirected,292,,,1
3,39,Undirected,293,,,1
4,5,Undirected,294,,,1
4,6,Undirected,295,,,1
4,45,Undirected,296,,,1
4,13,Undirected,297,,,1
4,21,Undirected,298,,,1
4,22,Undirected,e35,,,1
4,25,Undirected,299,,,1
5,8,Undirected,300,,,1
6,9,Undirected,301,,,1
6,7,Undirected,302,,,1
7,20,Undirected,303,,,1
8,9,Undirected,304,,,1
9,33,Undirected,305,,,1
9,34,Undirected,306,,,1
9,10,Undirected,e43,,,1
9,11,Undirected,e44,,,1
9,13,Undirected,307,,,1
9,14,Undirected,308,,,1
9,45,Undirected,309,,,1
9,23,Undirected,310,,,1
9,25,Undirected,311,,,1
9,27,Undirected,312,,,1
9,31,Undirected,313,,,1
12,13,Undirected,314,,,1
12,14,Undirected,315,,,1
13,33,Undirected,316,,,1
13,43,Undirected,317,,,1
13,45,Undirected,318,,,1
13,14,Undirected,319,,,1
13,25,Undirected,320,,,1
13,27,Undirected,321,,,1
13,31,Undirected,322,,,1
14,37,Undirected,323,,,1
14,15,Undirected,324,,,1
14,18,Undirected,325,,,1
15,17,Undirected,326,,,1
15,18,Undirected,327,,,1
16,33,Undirected,328,,,1
16,17,Undirected,329,,,1
17,18,Undirected,330,,,1
18,19,Undirected,e75,,,1
18,33,Undirected,331,,,1
20,21,Undirected,332,,,1
20,39,Undirected,333,,,1
21,24,Undirected,334,,,1
21,23,Undirected,335,,,1
21,48,Undirected,336,,,1
24,25,Undirected,337,,,1
25,33,Undirected,338,,,1
25,43,Undirected,339,,,1
25,45,Undirected,340,,,1
25,48,Undirected,341,,,1
25,26,Undirected,342,,,1
25,27,Undirected,343,,,1
26,28,Undirected,344,,,1
27,43,Undirected,345,,,1
27,45,Undirected,346,,,1
27,47,Undirected,347,,,1
27,28,Undirected,348,,,1
29,41,Undirected,349,,,1
30,43,Undirected,e8,,,1
31,32,Undirected,350,,,1
31,36,Undirected,e60,,,1
31,38,Undirected,351,,,1
31,45,Undirected,352,,,1
32,37,Undirected,353,,,1
32,47,Undirected,354,,,1
33,34,Undirected,355,,,1
35,45,Undirected,e17,,,1
37,38,Undirected,356,,,1
39,40,Undirected,357,,,1
39,41,Undirected,358,,,1
41,42,Undirected,359,,,1
42,43,Undirected,360,,,1
43,44,Undirected,361,,,1
43,45,Undirected,362,,,1
44,45,Undirected,363,,,1
45,46,Undirected,364,,,1
46,47,Undirected,365,,,1
